木字多一撇,禾,酉泄霜肝蝈赠掰懂孕禾
水上工程,汞,帚彬荕塔沃猪箕谊维汞
火尽炉冷平添意马心猿,驴,荑拓汊仂谐即茧乘承驴
王小明耳朵很大 今年十四岁 读一心国小,听,得寇睦車织糕信跑琦听
王先生坐在石头上,碧,购缁请箩贺熹烟旺迢碧
王昭君仰首看斜月 云天吊亡魂,望,缀闰圭溢孽半煜筏晦望
付出爱心,受,辍秚扛舰钼前察扮杷受
有心得志,士,钍喜先扶粤交斩型浸士
有手怀抱里 有脚想溜掉 有火点就跑,包,螟波缀竺么胐邦圯瑰包
兄有债,歌,十湫肃娘郴杉笑娟借歌
出一半有何不可,仙,血凬荕校穗河厕眭产仙
出自幽谷 迁於乔木,呆,桁栾茀麦澎汽翅巴减呆
半出半进,崔,景作觥习韩佻迆赫腊崔
半个人,伴,泣宋贺唉苫琬升槐晶伴
半个月亮,胖,置撑蝇玓晋惫嚎揍莹胖
半推半就,掠,理潮电晴丞示胤怒坐掠
去了上半截 有了下半截 比成两半截 又无下半截,熊,窈匀旬笈埔渭梢泗棹熊
古时候的月亮,胡,聿绚负巡句淅舍矮傍胡
司马中原,魂,刌陛死耿滕围边令声魂
只是近黄昏,酱,夷泾悼液虻棉热园六酱
四山纵横  两日稠缪  富由他起脚  累是他领头,田,侠械稔好耷连娬焱背田
四川的狗,独,深沂羔傍黛匝乃嵩搞独
四面都是山 山山皆相连,田,野新散每训毕渺最昇田
失其心也,共,杈樊晏佬录精沂荘挞共
左有十八 右有十八 二四得八 一八得八,梵,姹谜楞交退艮狼诬大梵
打开门有客来先脱帽再脱衣,阁,尊智朱找而杢舱艾化阁
正月无初一,肯,闸诃坝拾腥蜓渑滉圭肯
正字少一横 不作止字猜,步,牛侑仅侈恍茧寓岔夙步
田里雨后长青草,蕾,栋油折父反视浸艳酚蕾
甲乙丙丁戊己庚辛壬癸,旱,旦规畸住金裹冢峁色旱
白头谐老,舌,俅璃零阜卯瑛认催雾舌
目字加两点 别做贝字猜,贺,霄丁览培灾洞涉锺懂贺
伊丽沙白,瑛,宙钉夭脏躬痒壮鸟射瑛
多一半,夕,亥犇薇参勿替寨琉刑夕
画前画后费心思,田,掱帝谷昃驰以夕毓凶田
如箭在弦,引,氮恩绘瑜搬咒现挟课引
存心不善 有口难言,亚,驳茗着孩甜恪闯嘉霸亚
守门狗,戾,瓶引铢系答神妒煎渡戾
旭日不出,九,曱啬翻值鼹佰滕政熊九
皇帝新衣,袭,郁开芆之隧洳碍拴眠袭
一流水准,淮,煜狼団煮邵日兑谧简淮
石达开,研,录府作焚棹理埔掷蕾研
拱猪入门,阂,助层坝彦冠儡歪鲩荫阂
格外大方,回,粥惑舞奔牧选恋嗜囫回
走出深闺人结识,佳,雪委城尼观译交创土佳
一千零一夜,歼,海偌苜柜娴邾佣滑丝歼
七十二小时,晶,绩鲂伉味箔暂糟笞定晶
需要一半 留下一半,雷,叉谈毒汗凄琦锣赏吸雷
一口咬住多半截,名,五韭不荀卡恩倪樊咏名
一月一日非今天,明,泗忖姗嵩乞躲茎仲正明
要一半 扔一半,奶,孟悟十叉堡秩福沮呖奶
综合门市,闹,净畦冰阴接光译潇戊闹
不是冤家也碰头,硼,芩认夂姹稔沐活猎姗硼
上气接下气,乞,啤蚜柘讽厝轩逍燥魄乞
四方来合作 贡献大一点,器,二寿寅璧塔詈罢沛谬器
贪前稍变就成穷,贫,吩币伦樵赎诡沪柬支贫
半布春秋,秦,蚊巷认杏其对斜混井秦
银川,泉,胃疴菁憨欢识山画佯泉
一来再来,冉,拳缌蛔菁猴线疟脊坑冉
守门员,闪,揩技纲茢奖始柄杆姓闪
有人偷车,输,妹牟消海政更宗力阜输
酿酒之后隔日香,晒,掠背七改利东粕旭汜晒
半青半紫,素,绪泉捧瑭耻卜待蠱蛞素
自己,体,季租举妹发充题礼洇体
秀才翘尾巴,秃,摩护绚黜蕴胷负羞过秃
重点支援大西北,头,反躁昆姜闻绪岆嵊柬头
身残心不残,息,随骊殊狞缶县瑰床菲息
床前明月光,旷,嫁年走觥槐称淋碳幽旷
十八乘六,校,眵褒皫斌瞎跳裂剩垒校
一勾心月伴三星,心,鹊衣愆组锐浛思工拳心
一撇一竖一点,压,嫔伦撂哥胎舅均居该压
八字头,学,趾唉酬纭鹃骟臭颔噩学
千里挑一 百里挑一,伯,社太娆愚归馍若绿伙伯
群雁追舟,巡,死戎又邗咸矛路枚愁巡
四个人搬个木头,杰,梳堡匏槽昂园件买忧杰
一人,大,嗜击楷肴至挖喳菊透大
一人一张口 口下长只手,拿,戊珅围鹂草竞急夯呸拿
一人在内,肉,薤泵秋啥若选肝愆舸肉
一人挑两小人,夹,寨鸨障沈真怂嗫羔益夹
一人腰上挂把弓,夷,肰靳莅雨栓伞螶缄狲夷
一口吃掉牛尾巴,告,掌茢羁猴抬玷似柘誩告
一口咬定,交,相滤猫浓歉抛演想痛交
一大二小,奈,囩烦芬显粥亢仝浸粉奈
一斗米,料,乡情秦菌蛞妪产慝钜料
一月七日,脂,礴忐赵氽描蕾嗔翅母脂
一加一,王,肺酗具柔敝至漉杏愆王
一半儿,臼,亢糖妗秋八宵仙并扦臼
一字十三点 难在如何点,汁,需闻岬荔怂硼瞎浔芢汁
一百减一,白,熟姘洛仆疚种凬狂炭白
一夜又一夜,多,币炅碑唠被姚绘耳炬多
一个人搬两个土,佳,蜀铂喝閒态寻弥趣奶佳
一个礼拜,旨,渭喜剑舜殚抒囫铯秕旨
一家十一口,吉,匏婚倮晗牙晤抵翕挞吉
一家有七口 种田种一亩 自己吃不够 还养一条狗,兽,给友拽氟彦菖妥痒皋兽
一根木棍 吊个方箱 一把梯子 搭在中央,面,辜排惚翩箱衿云俪宋面
一只牛,生,刘目瞄恻筚俞芨烤兼生
一只狗四个口,器,乘聿敏慕燮娶愚寓扫器
一箭穿心,必,骤毙儫良漉鳞穹亨笔必
一点一横长 一撇到南洋 南洋有个人 只有一寸长,府,剑膂急叫翼莠攫箫蛞府
一边是水 一边是山 ,汕,挼都短団垃您芮净甩汕
一边是红 一边是绿 一边喜风 一边喜雨,秋,甬蔷身旮针聂蚕淄羞秋
七人八只眼,货,泵谬唠煲匏钬句艮付货
七人头上长了草,花,襄柘笞单漓翡饴担弯花
有两个动物 一个在水里 一个在山上,鲜,针逍膀行楠繁扩仗印鲜
九十九,白,厕硫忧楮历树冯指憔白
九只鸟,鸠,泅操熹躬瓣年恤拥字鸠
九号,旭,谁罡玺虫缩爹采妾一旭
九辆车,轨,箫弹验倮榔生浇优疝轨
九点,丸,琪欢囱喝糜婕只街醉丸
二八佳人,妙,蓄浇痘糔常掘渑眸嫖妙
二小姐,姿,学支途恶炭弹撂滉奔姿
二兄弟 各自立,竞,哆刽冑铡奠乡屑刖弛竞
人不在其位,立,峨冥梧晓朋祝逐破酥立
人有他则变大,一,媚埔窟漫脲菇残亢庖一
人我不分,俄,黯撒闵国恨丈新侦丐俄
人都到了,倒,艰贪孕担创被圆鸾椿倒
人无寸铁,控,唠十单晗依火七茗捱控
人无信不立,言,篇寻罂痱穗足渺垮塔言
八十八,米,印琥漳遗栈盼喳猪挟米
八兄弟同赏月,脱,脑钼广苆馋犇守荘棼脱
刀出鞘,力,拱暴弼烛案拽启逻黑力
十一个读书人,仕,泞敌救猴捐相辨见朕仕
十二点,斗,矛庄芕偕豁象赫判权斗
十三点,汁,绺泵那浸晴尺驰阀师汁
十五人,伞,傲妇悦依涔怀踵覃岌伞
十元买早餐 八元买豆干,干,噎舒招副晿口负苆蚯干
十月十日,萌,擞窒跃孽嘉海爆摸颚萌
画时圆 写时方 有它暖 没它凉,日,颗诃霜功偷姚俏跑磨日
圆心着力,勋,脅胚瑰琉泣再找久磐勋
而立之年 独居川中,卅,润运渗牮料壤线森着卅
看上去有两头牛 其实一头也没有,年,乞裕里赚兵听惩密徊年
话别之后弃前嫌,谦,慕玫苔邪浍诣昧鸿郁谦
作品别具一格,吕,崔痴笔组珅奁贵又绅吕
左边一千不足 右边一万有余,仿,惜死湄耽浛般赤哦溢仿
左边十八 右边十八 总共六八四十八,校,岆樵砌荒绚欣佳樊靖校
左边三 右边三 十一立在正中间,非,样囩羞蓟觅绅椎品规非
左边来 少两人 右边往 少两人,柱,学硬亏荘谐符顽嘶晨柱
左边看是权 右边看是对 正面看一看 仅对两相连,树,膏舸噙稳粑曹屈未垤树
左边不出头 右边不出头 不是不出头 就是不出头,林,钱佃壮惚芮婚塑分申林
昨晚 今晚 明晚 后晚,罗,脌甾泞叮阆趋宏垡绺罗
昨日不可留,乍,踮外铸刀叩迹者抱秋乍
罪该斩首,非,指岗畗轩寿乘绒净颜非
最后重逢,双,踯瑰鬼焚泣翅钙柄瘦双
最后一点记心中,叉,辟降朝业丁斐命嘈杜叉
嘴下留着八字胡,只,护株缰笞系现年龆悬只
嘴,唧,厂驻鳅杜业乍鲁仔橹唧
足有一半,右,戏胃布枫氏闪闻兼合右
足须一月,却,郓井矩革铧林荤满沸却
足下不死 我不得安,哦,远霸拟缌拨违惚础坤哦
足球 手球 排球,捉,绝怛拖宋恳慑输啻线捉
足赤,镇,拳秽机柯痒辰恕蔷在镇
走在上边 坐在下边 挂在当中 埋在两边,土,友生筞睦卜刈逆忧娘土
走麦城,翠,著脆憋煲獐魔邾茀击翠
走到村前星已斜,述,吞虎紤拉霖萃卅垮劾述
纵横谈,计,操炕肖恬娬章蓉侑钉计
纵横开合在人间,奔,僧码跨漫甥堪分驰槎奔
总有一天出头日,春,中渣站乞音互蚪谜艰春
总是玉关情,国,啜平忿积甍诣旧饥折国
综合门市部不清静,闹,裙偿钼篱转琪钊给察闹
自已多心不发火 刚一发火火气无,熄,荔韩蚴韭咳屑溅宁咄熄
自小在一起 目前少联系,省,铢宅肝熹隆忿孴弋倪省
自我批评,记,壬胀尺舜义热磕楞箦记
自我当头不足取,叙,趋侏哭衿柘玺瓦逆算叙
字到前头却普通,晋,省晨妗览锯囲担音湄晋
着眼不到 功绩半失掉,差,竿晏聒褚巫稳璐捧冣差
自述,语,浙冗冈喉富蒯裂拖荷语
庄稼欠收,秒,九葛持息徘永零珏联秒
自大一点惹人厌,臭,眹栓钨拾断政骅穴钡臭
再去一笔也是字,再,裕沾疚堆恻搏鉴职悠再
自家的照片,豫,诊动壮苑利膂神杯嚎豫
自古有聚必有别,憩,矼鸟屡甡卫笞单笑抹憩
自古不简单 有人也有山 山倒人挺立 能顶半边天,妇,乡翌鸡伐弘革缈举糜妇
自传,记,诡凝腾舞棋寸哟慝俭记
着手略有转变,撂,栎泾窖钻衍洄冠泪亦撂
一月照枝头 双星悬天下,秋,占粽艽馈跳累化十社秋
啄木鸟,蚀,夭魅辞蝇甄蒋还腔浮蚀
庄稼一片黄,锈,淀跎狲罗滞竹迹快司锈
转业到田间,赤,簸巴瘁尒毳盖缩裕禽赤
专与人作对,传,海特起俘朩委害束抨传
专人负责,债,巨瓢夏藻筮颔阎蹲府债
祝福,诘,拽枚畏愁使淬瞇且偌诘
柱子,亲,挥岂茀望库豳竡胖挝亲
住房不足,仿,篓句角找怡哄杳尧菌仿
住的厦子露着天,夏,交互詊美呜待羞容比夏
属猴的,伸,认濡奢牯册轴隽样右伸
主见差一点,现,秕革珠内嫩举话枣樱现
主动周到,国,茢嗅具擂吝负馈缠骥国
竹落方三叶 月斜恰半林,彩,蓟轰约轭博姿布瀚驰彩
竹高草低秋波里,算,智娜彗汆畸艳芜违槎算
竹到笔成,毛,办境煮同梯炭忖阵爪毛
猪仔,孩,妃谁娣松防擦百羌炊孩
猪增加出口,劾,婕舟床赭块蒜瓣炳泊劾
猪跑了,逐,呈杈妖接俊狂停蕴苬逐
周末晚会,歹,像幸弘籁守嗤足移渭歹
猪马同槽,骇,倦泮灾烛醢真洼咳齐骇
周末谜会,唬,惑箫哉荫掘退遍跑鲳唬
重山倒映 月影随行,用,拈晏祈谔测胷拙柴罂用
重逢,观,狩樵躁她拙垃冈淝山观
周末,口,捅愁聘笔斜毛持昝俊口
种田大有可为,畸,签消魏配怜呕供旺妥畸
只待双方心融洽 才可将那情侣结,倩,肰师盲繁刷资翌歹茁倩
只差两点,口,登甬灸浸迟粑警蔑爹口
中医配方,知,栽研兖堵萌茁盖泛氧知
中旬考上北大,奢,监昶给膝谊哀并芨冐奢
中午多云有雨,浒,恢踵懿菁匝虻功滞俞浒
直下上海,由,囚蜀士男韵渥乏剡夙由
中间一长一短 上下大小各别,奈,柜褫咆弯哆夹粒障轵奈
中外服装,衷,朽系岸仄泺觉坐亟魏衷
中国腾飞 再谱新曲,曼,郝玺孝唉既枝耶耽尺曼
中国,玉,额昙弦码沈繁康喜箱玉
致癌食品,疝,小杏王臻恨堆本梦肒疝
治愈痱疹 消虫灭蚊,斐,掇噎帚声爆勽茴垮脚斐
此字不难猜 孔子猜三天 请问是何字,晶,霞隧阕仓瞩千责实忝晶
治疗将近两个月,谬,筷丑笼菟啃桁邦雨沐谬
指示未到,羚,详犁撵聋臾用谟吹圉羚
指东道西,诣,言听锱拙豁鸽场旮邾诣
只只球儿落点刁,羽,鼎有锯违齐基销离敬羽
只有姐妹与弟弟,歌,苫番助棠芦竟几宿骤歌
只有姐姐妹妹和弟弟,歌,靳串潺蛞恍殊纺愚热歌
只说一句,询,屎萍旻饨滞逡崽鹅渐询
只可我负天下人,何,腔轧搞饥果浊锣昕荑何
只差点点,口,讼镰验庙孩悠谬历嘲口
只采取一半,楫,茧神沁杞居度拨啦濡楫
植树种草不落后,苯,夫伍雉芔戾感嬉馋尖苯
植树造林,堡,爆阍殃妮辇袅畲腰独堡
植树节,直,典轰缁像蚜爪缰姣棺直
植上树就变样,羊,樱根蜃觥缓爽管披木羊
值钱全靠这两点,金,逾炰捅赳闲摹弹赔利金
直追前人,个,畗巩薇垂贡着夭攸租个
直到三门临海边,润,搞膝恤蹊旻甥库撑悦润
织女鹊桥会牛郎,规,东扉妍公既急牙卷拓规
半边有毛半无毛 半边上山吃青草 半边下水涌波涛,鲜,协啐苬绩昔瀑渐床锣鲜
枝节纵横,权,默化雷渭呢债拐笕遍权
正字少一横 莫作止字猜,步,亭蟆捶捕聿玛蒂军翻步
正月少初一,肯,娆滦侦造琚飘烘氏呖肯
正月初一已过,肯,瞿错惩吝偌矮哭笛扏肯
正义一生为后代,斌,言篮忝俚示缩瑾献纽斌
正是为了后代,武,钗缕扮車夜唔电洱皿武
正看並无头 倒看亦无头,业,和毡锈输迢督去营黟业
正和她在一起,嫣,渴聘笌戽讨缓取贫举嫣
正好二人,征,黟命回隙玉忌苣荰魁征
整理口供少一人,典,羌逻驳岬犹屑琥瑗儿典
征服,裘,诉枇扈继编璧易肢穴裘
争先入川,色,盼莺卓土着夾岛耋孤色
枕畔泪分流,湘,宿积腮粥趣炕坠蹲詈湘
真心相伴,慎,蒜肰牛芜方宋协蕴叮慎
真丢人,直,姣求灵谧厝敏釜仓蛛直
针炙通经络,窜,斥井驭薯扑珠钰瘤怦窜
这一张,题,余分迹奄朴弁霞瘸袱题
这是其次,些,骚甸粽巢痘填检樽嬉些
千个口,舌,承价阆孝今芕格憔菼舌
太阳从地平面上升起来了,旦,蚜摸火鹊意蚁炝伐虹旦
这很好,雌,兹來嗦呸沣泉谢糊啼雌
这半边看去是古文 那半边看去是古人 把中心抽掉 就变成女人,做,缌祟倩淀斯沏函驳粑做
折枝桂花献亲人,佳,誉艽残泞吗浮拂丙敷佳
一阴一阳 一短一长 一昼一夜 合为一双,明,淅完闱妗旺仗翡猴维明
赵子龙名驰天下,会,宽琅渊弄兑粗络哨姿会
找到一半,划,蜗句妪谤诎判纵熹胇划
招手不见走来,超,瑭赳粑诉琪惠永桓慕超
仗势霸一方 势必被铲除,便,晷粪转昃缀探挟猫伙便
掌上无污点,拍,匙屉肉檩跎钻见狱咸拍
掌,挛,篓芮苣管什轰珍将辩挛
张省长到第一线,引,莓缠嫔赚黯庵雀瀑础引
站在一旁请不要说话,靖,荨行附柄朴胄腿嵩糔靖
站在前头,音,柄芦丛保顽鹊荨酥套音
展望未来,着,新荘畗投瞐淌秩踏租着
斩草不除根,早,巷尢瀚轩衰符疟酉蜥早
沾水就活,舌,婀旧边悻夂尺古敫甸舌
砦门重映残边月,翩,神窖义糊坔竹卫脅骂翩
宅前屋后,室,禀些墅岆戈亭告屯杀室
扎根务农,思,墓筷弗打蝈霜周缰最思
增加一周,同,粪扭丫奕筮菲挼内叶同
曾经沧海难为水,滩,苦常廊晓娥躯砍梳长滩
责任制就是好,匏,卡裹外灻扯瑜鳃扏泮匏
早退,选,吃酸卉蹄归境华什粥选
早上勿来,易,陈豆榔横菊七绸殖怒易
栽树植林 村村有份,木,昏歉邱府尝较汕炅晿木
运销海外,咄,阵衍旗意芩乌言哨侏咄
早上晴,昌,溜汽十针移首补叠离昌
运动会上都有它,云,找谭细抬妄缁昌氧最云
有意无意两相离,有,壮撞饴茹妮闪慨八囼有
远树两行山倒影 孤舟一叶水横流,慧,计莽妥宣噙辨峁羡构慧
岳父,仗,性终邓陌则鳗碳椎吹仗
早上好,晏,冉立荏垤法娶浕甩除晏
早上班 不迟到,环,亿辱便早滋弁秋中办环
赞扬责任制,匏,贵食卷羯增柄嘉略戬匏
在党身边 儿莫挂牵,躺,冰蜓俑眚衔温虹皆普躺
再见,扮,谜秕览右那罢恕远不扮
阅读欣赏,敦,罢汉封帽例胇室戒福敦
月照台前比高低,能,什息湛岛苒码具兵欢能
远树两行山倒影,彗,仲轲交拖昝册撂拼碧彗
远树两行山侧立 扁舟一叶水平流,慧,亥撵敫蠱格滇埔允令慧
再次谈判,燮,恒叙伦仇殙忏偌犑周燮
运动会上常领先,偿,近钻雷演压遭粽蓉妮偿
跃上高峰夺标回,檩,骒喊吐躲襄喋怦啊亭檩
越说越糊涂 猜猜就清楚,谜,旗劣狗婀衔防墙谐扈谜
云遮月,育,肿卉竞梵列为孚饴跳育
月月不断有人来,佣,施桌螅壤叉珂逡萧观佣
又到淮安,滩,歪江两汆懒闾卑干壬滩
有功有赏,勋,暗的噪具虎冼瘤衙岆勋
云长贵姓,联,垓谨淝浮嗯肰站笋泓联
愿天下有情人皆成眷属,答,兖发靖销阔锯音骒蚁答
遇火就明亮 遇水就肮脏,虫,惚侬月呢璐娶绉亵泪虫
又逢十一,圣,逐差姑刘晗湃秕侨时圣
月光半露风鞋边,霸,体珉妍票妒碳潜汽挥霸
遇水则清 遇水则明,登,刑伞佶棣车调侑榴熹登
又进村来,树,昉平睛蕊掮视映别迹树
月落乌啼,鹃,邓绩赔焚位克逻辫婆鹃
远销海外,咄,解交两魇衮野验闩信咄
冤枉,倔,忿欢检儆精凳互面度倔
有一点不准,淮,逡锯采畗肃冥你靖累淮
云破月来花影碎,能,铎妗烫术苴湃影垒荨能
月下论桑麻,谓,岩佳快毙狎梗唬铢佬谓
远树两排雪后挺,彗,上囚掇颗垤纺钍颊题彗
叹一计不成 方又生一计,译,绺腐吗妯扒卷聪酒央译
余在山东,峨,眸抛畗垮竞俶檩寺京峨
月上枝头杜鹃鸣,棚,选梧卯雀镯扯彧谭捺棚
远看象头牛 近看没有头,午,樵団谷痕七膂葬点供午
原籍上海,伸,沈纪蒜凄椰痴挡西机伸
原鸡,醋,兹督庖杏火垓恕顺瓠醋
园内荒芜怜冬眠,图,奻刘显钩鸾香炝掷骅图
员字加个立 猜起很吃力,赔,竹国喂呕绝西撞骡蚌赔
元璋称帝,珠,迷话炝巢味难烂荟布珠
