司马中原,魂,阳偕扶炅魂
只是近黄昏,酱,轩窒详最酱
四山纵横  两日稠缪  富由他起脚  累是他领头,田,厂亮竖伪田
四川的狗,独,骒莳检氧独
四面都是山 山山皆相连,田,仆炰斯到田
失其心也,共,妒斜醄剁共
左有十八 右有十八 二四得八 一八得八,梵,气旦诈夯梵
打开门有客来先脱帽再脱衣,阁,螅娶狠柘阁
正月无初一,肯,货绚圣宴肯
正字少一横 不作止字猜,步,拓曰烘庚步
田里雨后长青草,蕾,发力禾桐蕾
甲乙丙丁戊己庚辛壬癸,旱,吸变棚拐旱
白头谐老,舌,玲无泵侏舌
目字加两点 别做贝字猜,贺,梀咳铡灿贺
伊丽沙白,瑛,知撑期抗瑛
多一半,夕,婴只半樱夕
画前画后费心思,田,拨拟歆嗜田
如箭在弦,引,特面史丸引
存心不善 有口难言,亚,贱鼩潸趿亚
守门狗,戾,酒弄萃份戾
旭日不出,九,菖省搏荥九
皇帝新衣,袭,糖针盘栓袭
一流水准,淮,各勽卒奎淮
石达开,研,咄休甘兮研
拱猪入门,阂,回荔垦桦阂
格外大方,回,邓泵舛忠回
走出深闺人结识,佳,理医殃亦佳
一千零一夜,歼,隽驳喉寿歼
七十二小时,晶,佐列韧垫晶
需要一半 留下一半,雷,侃神狼彩雷
一口咬住多半截,名,鳍讨柳茗名
一月一日非今天,明,口吟臆靖明
要一半 扔一半,奶,消辑拟南奶
综合门市,闹,菹跺来娑闹
不是冤家也碰头,硼,溢朴淀沔硼
上气接下气,乞,棣华衡侮乞
四方来合作 贡献大一点,器,自景儡叨器
贪前稍变就成穷,贫,娬踵怜特贫
半布春秋,秦,碟异肝冷秦
银川,泉,欲孕话焚泉
一来再来,冉,滩土矗囧冉
守门员,闪,阳正搜巡闪
有人偷车,输,羔氯泉滞输
酿酒之后隔日香,晒,団佣壬旺晒
半青半紫,素,人室恣侮素
自己,体,遗橹吓念体
秀才翘尾巴,秃,粕呓君约秃
重点支援大西北,头,珅垦倍快头
身残心不残,息,断擞喊捧息
床前明月光,旷,互茫油煮旷
十八乘六,校,编沗隧尿校
一勾心月伴三星,心,菼氶教作心
一撇一竖一点,压,凼堑渴呓压
八字头,学,净泼了冼学
千里挑一 百里挑一,伯,畗街麾明伯
群雁追舟,巡,鼎喝季珍巡
四个人搬个木头,杰,鸥姓碟往杰
一人,大,胖钿雄秉大
一人一张口 口下长只手,拿,匏卯掱茭拿
一人在内,肉,畔报檎遥肉
一人挑两小人,夹,葫辜垓娟夹
一人腰上挂把弓,夷,凄硂儫抗夷
一口吃掉牛尾巴,告,北殓宵歆告
一口咬定,交,掰万志合交
一大二小,奈,砷隶旭息奈
一斗米,料,巡官认舞料
一月七日,脂,瘦痛侨廖脂
一加一,王,著把彻痱王
一半儿,臼,思轰尹检臼
一字十三点 难在如何点,汁,约棚崩垤汁
一百减一,白,怀记攫荷白
一夜又一夜,多,飘泡瞎纲多
一个人搬两个土,佳,甲脂互卞佳
一个礼拜,旨,新腐棵谢旨
一家十一口,吉,县妖捏爹吉
一家有七口 种田种一亩 自己吃不够 还养一条狗,兽,哔绩摩蛞兽
一根木棍 吊个方箱 一把梯子 搭在中央,面,挖煲醋者面
一只牛,生,邀炽啮悟生
一只狗四个口,器,包隋更当器
一箭穿心,必,冑境骏罩必
一点一横长 一撇到南洋 南洋有个人 只有一寸长,府,薨撂耷针府
一边是水 一边是山 ,汕,常旗邦薇汕
一边是红 一边是绿 一边喜风 一边喜雨,秋,言渴孝扛秋
七人八只眼,货,暂鳍栩旷货
七人头上长了草,花,错慝和夵花
有两个动物 一个在水里 一个在山上,鲜,榭棺抹背鲜
九十九,白,酱铢气栩白
九只鸟,鸠,眩尘子梨鸠
九号,旭,舞廊辖杈旭
九辆车,轨,墟碎肩帛轨
九点,丸,笌佐戌宰丸
二八佳人,妙,付驷昔她妙
二小姐,姿,龆溧裙悯姿
二兄弟 各自立,竞,丁來瑛椎竞
人不在其位,立,刀戽影串立
人有他则变大,一,冗又棕床一
人我不分,俄,熹煌杰麾俄
人都到了,倒,槽弹膀撒倒
人无寸铁,控,糗弥危屡控
人无信不立,言,揍胤酱忝言
八十八,米,遭木务筒米
八兄弟同赏月,脱,抠慝耻灾脱
刀出鞘,力,冯仕平睛力
十一个读书人,仕,锐蛇氟哭仕
十二点,斗,娘豳伶火斗
十三点,汁,蛸楣跑畗汁
十五人,伞,浮计味百伞
十元买早餐 八元买豆干,干,震惜至琉干
十月十日,萌,旌酤院奇萌
画时圆 写时方 有它暖 没它凉,日,醋场舜喜日
圆心着力,勋,振扇攀羡勋
而立之年 独居川中,卅,版濡兰附卅
看上去有两头牛 其实一头也没有,年,矿纷衫音年
话别之后弃前嫌,谦,槎閤除簧谦
作品别具一格,吕,俊楂雌娟吕
左边一千不足 右边一万有余,仿,奎黍尢肖仿
左边十八 右边十八 总共六八四十八,校,台夹叮袱校
左边三 右边三 十一立在正中间,非,称包若哄非
左边来 少两人 右边往 少两人,柱,脏冑腰锐柱
左边看是权 右边看是对 正面看一看 仅对两相连,树,姚桥悉赚树
左边不出头 右边不出头 不是不出头 就是不出头,林,而表丢仕林
昨晚 今晚 明晚 后晚,罗,舌孬扮眚罗
昨日不可留,乍,怙持艾隆乍
罪该斩首,非,族丹铯纲非
最后重逢,双,业浆澎或双
最后一点记心中,叉,瞄荫该憋叉
嘴下留着八字胡,只,任准忡鼩只
嘴,唧,谭粽啥晦唧
足有一半,右,悲簸争捶右
足须一月,却,茢蹋霉妯却
足下不死 我不得安,哦,蜀棕妗佬哦
足球 手球 排球,捉,熟徊根沁捉
足赤,镇,析诛从广镇
走在上边 坐在下边 挂在当中 埋在两边,土,礴怫意挖土
走麦城,翠,每抵炽饼翠
走到村前星已斜,述,钰尹尚馥述
纵横谈,计,吻蒡浸受计
纵横开合在人间,奔,宵戎闾俩奔
总有一天出头日,春,冗未时狲春
总是玉关情,国,恼萝田黯国
综合门市部不清静,闹,娑瑰乍爧闹
自已多心不发火 刚一发火火气无,熄,泵谁矼药熄
自小在一起 目前少联系,省,琦息咔蔑省
自我批评,记,乃莎葛挡记
自我当头不足取,叙,韭次潘陛叙
字到前头却普通,晋,兮枸鹂篇晋
着眼不到 功绩半失掉,差,远轰缩冗差
自述,语,遍轵贷勿语
庄稼欠收,秒,雷枸缄忙秒
自大一点惹人厌,臭,狳栋滞牙臭
再去一笔也是字,再,鹭仿浇槽再
自家的照片,豫,蓉妞贿通豫
自古有聚必有别,憩,汆官改沐憩
自古不简单 有人也有山 山倒人挺立 能顶半边天,妇,鸭镇童徊妇
自传,记,码庆桌娆记
着手略有转变,撂,嫔善薨躺撂
一月照枝头 双星悬天下,秋,泊捉模芭秋
啄木鸟,蚀,翌普载佶蚀
庄稼一片黄,锈,太刖炊止锈
转业到田间,赤,叹瑜加乳赤
专与人作对,传,聒马涓诚传
专人负责,债,师疯赭兑债
祝福,诘,俭鹊豪润诘
柱子,亲,皆真闹匝亲
住房不足,仿,盏袄翻胎仿
住的厦子露着天,夏,闵通木殓夏
属猴的,伸,批曰积娲伸
主见差一点,现,爆首诃寇现
主动周到,国,倭奻畦帼国
竹落方三叶 月斜恰半林,彩,幽对稳稼彩
竹高草低秋波里,算,媚酋愿吹算
竹到笔成,毛,宝佐慎题毛
猪仔,孩,炰饥鞋倩孩
猪增加出口,劾,绪拈戽姹劾
猪跑了,逐,叮妻为冤逐
周末晚会,歹,尼莽捡搜歹
猪马同槽,骇,罪降进钜骇
周末谜会,唬,棼兵脸竖唬
重山倒映 月影随行,用,免背盖壮用
重逢,观,扳社沙热观
周末,口,敷哆姘卦口
种田大有可为,畸,浓泄祚伴畸
只待双方心融洽 才可将那情侣结,倩,旬仑性雨倩
只差两点,口,竹沗洱类口
中医配方,知,省央樊桐知
中旬考上北大,奢,糔檩啐铂奢
中午多云有雨,浒,伴寇肢笑浒
直下上海,由,继吉蛙昵由
中间一长一短 上下大小各别,奈,枸俟捉乳奈
中外服装,衷,萌灵按具衷
中国腾飞 再谱新曲,曼,里卸浍鹃曼
中国,玉,归淡销哈玉
致癌食品,疝,忍莳淡属疝
治愈痱疹 消虫灭蚊,斐,孟咨别学斐
此字不难猜 孔子猜三天 请问是何字,晶,撒杆炸荕晶
治疗将近两个月,谬,跑飞玺皱谬
指示未到,羚,剁肢婿忧羚
指东道西,诣,离诈轴雨诣
只只球儿落点刁,羽,尺奴唠人羽
只有姐妹与弟弟,歌,冀尚鄙棂歌
只有姐姐妹妹和弟弟,歌,乍疴昵鹂歌
只说一句,询,影摸若蕾询
只可我负天下人,何,作糜竡基何
只差点点,口,邦韦厕裂口
只采取一半,楫,绚揪泡互楫
植树种草不落后,苯,温佚第酿苯
植树造林,堡,灾辨包谬堡
植树节,直,肉讣咕栎直
植上树就变样,羊,赈汲嵩承羊
值钱全靠这两点,金,酵枚信缕金
直追前人,个,踯慝買如个
直到三门临海边,润,闰耳抛乒润
织女鹊桥会牛郎,规,诬杉栈葑规
半边有毛半无毛 半边上山吃青草 半边下水涌波涛,鲜,患寄贾继鲜
枝节纵横,权,馨工犹岖权
正字少一横 莫作止字猜,步,扯娔靠犬步
正月少初一,肯,妹玛钰布肯
正月初一已过,肯,槐嗽姥舞肯
正义一生为后代,斌,荨脱乐炝斌
正是为了后代,武,揍檩百窖武
正看並无头 倒看亦无头,业,王槽鲡卅业
正和她在一起,嫣,汪丸罂记嫣
正好二人,征,赶实琬镯征
整理口供少一人,典,懿彦蠢吱典
征服,裘,堵咄淬光裘
争先入川,色,玓焱徉剩色
枕畔泪分流,湘,玉孜惩伤湘
真心相伴,慎,已腥邗豆慎
真丢人,直,臼笙坐栏直
针炙通经络,窜,雨世剧驾窜
这一张,题,奠梢盼青题
这是其次,些,僮燮楂蒯些
千个口,舌,洼酿侧阕舌
太阳从地平面上升起来了,旦,宅翼扉默旦
这很好,雌,夫荔秒亵雌
这半边看去是古文 那半边看去是古人 把中心抽掉 就变成女人,做,忠畩编大做
折枝桂花献亲人,佳,许鲡蛔灵佳
一阴一阳 一短一长 一昼一夜 合为一双,明,光值羡缸明
赵子龙名驰天下,会,迥楞粒订会
找到一半,划,饲汰咳夸划
招手不见走来,超,琵炎龟胜超
仗势霸一方 势必被铲除,便,已淄蜀半便
掌上无污点,拍,來浴泞卓拍
掌,挛,惑嚻昙画挛
张省长到第一线,引,鲨胰盏娶引
站在一旁请不要说话,靖,囵着棘能靖
站在前头,音,篓杯淹囱音
展望未来,着,而昱俟茭着
斩草不除根,早,关裘重豁早
沾水就活,舌,洽开辨血舌
砦门重映残边月,翩,纥梅针稳翩
宅前屋后,室,弁兵羯兼室
扎根务农,思,催允浓涂思
增加一周,同,国鲡卵屠同
曾经沧海难为水,滩,诬府嬉灵滩
责任制就是好,匏,尖烫箦惹匏
早退,选,错漯曾寻选
早上勿来,易,杆昏秦布易
栽树植林 村村有份,木,捧促锺毯木
运销海外,咄,涓佬巷籁咄
早上晴,昌,鲩漪主嗟昌
运动会上都有它,云,泽构盼还云
有意无意两相离,有,窜薯偎兹有
远树两行山倒影 孤舟一叶水横流,慧,职畔婀老慧
岳父,仗,仁忐琪皖仗
早上好,晏,茶佯璃棚晏
早上班 不迟到,环,舱培亲耳环
赞扬责任制,匏,通榻惫怕匏
在党身边 儿莫挂牵,躺,职滴瀑咄躺
再见,扮,裘省逻俄扮
阅读欣赏,敦,斯印冯暂敦
月照台前比高低,能,泳茎昃殚能
远树两行山倒影,彗,垫骂破躬彗
远树两行山侧立 扁舟一叶水平流,慧,徉門拿馥慧
再次谈判,燮,谧象惜沏燮
运动会上常领先,偿,洲矩楷笆偿
跃上高峰夺标回,檩,実莳痘讦檩
越说越糊涂 猜猜就清楚,谜,昏掌脖迁谜
云遮月,育,詈径割原育
月月不断有人来,佣,赤啼缕笃佣
又到淮安,滩,伒尝惹谢滩
有功有赏,勋,爸扁纪蠲勋
云长贵姓,联,娆川绷性联
愿天下有情人皆成眷属,答,韩恭耋居答
遇火就明亮 遇水就肮脏,虫,吏獐偕益虫
又逢十一,圣,氶实拍玫圣
月光半露风鞋边,霸,描莽啬幼霸
遇水则清 遇水则明,登,命以肪粉登
又进村来,树,申涌沔丸树
月落乌啼,鹃,匣旨糜萝鹃
远销海外,咄,肋志吝咖咄
冤枉,倔,恃乖盘鸠倔
有一点不准,淮,婚咔情被淮
云破月来花影碎,能,醢富沧寓能
月下论桑麻,谓,阎爪墓妥谓
远树两排雪后挺,彗,简勿佃断彗
叹一计不成 方又生一计,译,虹毛衣鸳译
余在山东,峨,运淋汝胚峨
月上枝头杜鹃鸣,棚,咫您哨敖棚
远看象头牛 近看没有头,午,怒嫌赚苛午
原籍上海,伸,刷让胖炜伸
原鸡,醋,橙忘罡丐醋
园内荒芜怜冬眠,图,厅寅攀庵图
员字加个立 猜起很吃力,赔,佃夫土暑赔
元璋称帝,珠,霞宛债谊珠
欲话无言听水流,活,棺两篑菖活
狱中,言,婶亿冯胄言
异乡见明月 念儿各西东,胤,骒功芬行胤
因非多罪,四,杏莱丸烂四
此君没人性 充当第三者 揭其真面目 比虫更冷血,它,実贾仪敏它
玉鲛绢,帛,觅诤驴骤帛
依人成双 心多不智,禺,佩管人免禺
雨落枯海,霉,佯扏昶屑霉
由此一直去 一直去,昆,矩啁辽停昆
雨后山色浑如睡,雪,朱连写密雪
有人是他 有口是你,尹,懂缀扒暇尹
意志坚定,恐,夷眯嗦悬恐
雨后春笋,静,拍臆橡酥静
有人无人都是你,尔,笆耽昵项尔
由衷之言,憩,被侏俞惕憩
一字十一笔 无横又无直 学生问孔子 孔子说无味,淡,搏畩伟洽淡
衣服破了 谁见谁忧愁,衰,七糊树嘴衰
一字十二点 随你书上拣 凭你好生员 也要猜三年,斗,读栓鑫雌斗
羽,袅,光笼学赻袅
有气节才有生命活力,羊,巩灾垛圉羊
用心就懂,董,墅厚侃胭董
倚阑干东君去也 霎时间红日西沉 灯闪闪人儿不见 闷昏昏笑话无心,门,董跟怪词门
与党中央一条心,忠,轾原哉牛忠
瑜 亮掌握中,炎,钓川冞茜炎
鱼肚,田,县扁鲥揍田
右邻左舍关系好,郑,赻侏又刻郑
又扎一针,铎,终木笔册铎
有样东西是个宝 垃圾堆里能找到,土,丞昃枯吕土
有土能种米麦 有水可养鱼虾 有人不是你我 有马能行天下,也,廊脲误排也
由字一竖写不直,曲,递氟蜻鄙曲
千口人预备不足,舒,亦兹狂呀舒
有头缺只脚,右,苯疚镰给右
有头没尾,尢,品境嚣场尢
由左边出车,轴,近伙琚仄轴
一字十笔成 没竖也没横 皇帝见了它 躬身把礼行,爹,肘呢壕热爹
有你的一半 也有我的一半,伐,焦私消愕伐
有人做伴,半,肯峡谟乾半
一走带千军,师,屋和群枯师
有吃有穿生活好,裕,轮功厉蛙裕
有了恳切心 还要主动点,琅,枫带郡瘤琅
一字十八点,术,面斥诵鸠术
有点成河,准,整嚎省寨准
一字生得奇 共唱四出戏 第一出霸王举鼎 第二出王婆骂鸡 第三出武松打虎 第四出吴汉杀妻,捌,问汉格捍捌
有刀能功,害,无恙氽纥害
有错不认错,肴,刘认膂赏肴
桃花岛上桃花谢 旧雨楼头旧雨游,枭,营脖倒说枭
有错,肴,咳蒙侑炉肴
应推广公字当头,兴,娇夷倩正兴
一字生得恶 头上两只眼 身上六个口 底下八字脚,典,变许协源典
游者停步,企,妖旨雾音企
应推广两点,兴,酚皱汀硼兴
引滦之水入津,栾,械始雪戚栾
一字人人有 晚上才开口,名,姜摄瞎肕名
造反了的人,入,蒯麾卦扇入
口里插针,中,帼宽俞咨中
一个儿子有一张嘴,西,浪孺锄疲西
两点中间一个人,火,崩直床季火
一字七横六直 世人少有人识 有人去问刘备 刘备去问孟德,曹,学趇聊夏曹
银行两侧,很,篮而涧靓很
座中无人,庄,搬椽侦讷庄
自大一点人讨厌,臭,基伪丛巨臭
一字不出头,未,谓韧金担未
宜下不宜上,且,巴皑臼墓且
草下双田有界线,薑,晃接绦肴薑
从上看 一天干 从下看 干一天,旱,皖帛皛坤旱
将二人扶上车,撵,娴苫羯鉴撵
阶前鹤舞月西移,娜,蒜钬寅味娜
今出游 来日吟赋 了却兄台前后之意,子,乙俘喂挽子
看看在春秋之前 其实在春秋之后,秦,竖雇笞躬秦
口中一点不是日曰字,虽,度玷扑菖虽
千字头 木字腰 太阳出来往下照,香,圭什茢灿香
左边有一只小虫子 右边有两堆土,蛙,君掱朱裘蛙
朋友一半,有,坟昌坐楣有
你有他有 众人都有 我却没有,人,凄罗峨乘人
残星三两点 孤雁横空飞,六,淀寨骸蹋六
两山相对又相连 中有危峰插碧天,由,阂储跕春由
加一半 减一半,喊,被晏卉讷喊
抛媚眼少女惹是非,声,桂焦狩虱声
春节前 秋分后 总念乡音,香,耻宴隙夕香
近亲结婚 不可取之,新,吼绔汜问新
旷野黄昏西日落 两山相对有人家,庚,湿耿湄祟庚
此字不难猜 而且不分开,面,姗然妥评面
一人比两人高,众,普妄泫衔众
两人排排坐 扁担来托着,丛,恭亡触酬丛
你没有他有 天没有地有,也,懈轲娶近也
办法一点都没有,劫,哧绦辩吃劫
人到五十方团聚,梧,鸽绒讦伦梧
一边绿 一边红 一边怕水 一边怕虫 ,秋,楞崇宋诃秋
立在两日旁 反而没有光,暗,净汇吾妗暗
勾兑沽酒不搀水,酤,礼亟玓柚酤
灯光前 人相依 问心事 事却了,何,昵皫坟灻何
此字真是特别 竟是一万多撇,厉,橙酊亟啜厉
既有头 又有尾 中间生了四张嘴,申,捏拜讷狗申
桃共依旧笑春风,妩,蠲第扮芹妩
所以负负得正,辛,稼坎麾斜辛
岁岁除夕团聚,出,闯娥恢答出
叔叔一只眼 百事都爱管,督,喜讽蒋井督
首先存粮而后思,悉,芙拗蒂轰悉
昔日一去心无念,芩,霁争窍鲂芩
谁闻美人声声唤 翩然前来将门扣,户,垤恢掱便户
十口之家户不满,居,笙筚总魇居
上不在上 下不在下 人有它大 天没它大,一,震苣误芊一
夫人走他也走,仁,棵撵盛检仁
值钱不值钱 全在这两点,金,淄汇沧癌金
银盘玉镜两难分,用,谐罐佩证用
残花弄影暗香来,乘,彩娬唬交乘
池里不见水 地上不见泥,也,糔缌磐勾也
因为自大一点 人人都要讨厌,臭,胇骄皂赎臭
一字六笔无竖横 同心同德力无穷,众,苦咬戌舛众
移左边到右边,利,阅泫陕坤利
欲话无言听流水,活,糊咐忘跻活
自有一日出头天,春,嘉伸键磐春
池中没有水 地上没有泥,也,尔芫射崩也
赤橙黄绿青兰紫,艳,堤钉昧偿艳
黑笔写出白十字,亚,缆侬冢什亚
十载相思风雨间,澎,斐薨笼业澎
牛过独木桥,生,渐诈宣偶生
黄昏前后杜鹃鸣,腊,财薤灭桐腊
半是机遇半是缘,椽,鹦衿泡堤椽
匕首 暗箭 短矛 与足下猜之,疑,獐坡止诎疑
此地景色佳 依山傍水真迷人,汕,蓬圈霸摈汕
虫入凤巢飞去鸟,风,栽抨嗦献风
分开是三个 合起来无数,众,哀胀脌肌众
前七月双月 后五月单月,肖,化否这冷肖
加减乘除少一点,坟,让崩宾念坟
一直一个样,栏,胶勤辱飨栏
丝丝杨柳云天下,参,倪厚网习参
此字八横又八直 若问孔子也不知,哑,喑鹭蓄相哑
眼看田上长青草,瞄,珂希浑逼瞄
明月当空 邀人共仰,昂,启店干累昂
唤我水边住,涂,盲脵茢辐涂
日月各西东,明,辜胡残虎明
东西南北无弯路,置,汁仨甥或置
一口咬掉牛尾巴,告,矗亦去测告
一中咬去多半截,名,伶肋嘿彗名
花落人亡两不知,七,也棚甸衍七
东西种梧桐 南北栽杨柳,楞,础赚艳畔楞
草色连云人去住,荟,瀑是兀枋荟
草下可藏人,荷,篑望阁函荷
参差树木映朝阳,楂,疽支逾昂楂
边吃边喝边呤,品,印浑噬弹品
文武双全不猜斌,刘,迟啮荐羚刘
千少万多,仿,蘑癌憨魁仿
傍晚,晒,爽牡阳娔晒
晴转阴有雨,清,暗秃狄奸清
一夜之间别样红,殊,匪吏娩仇殊
用心改革内外结合,绸,象她童莹绸
新年之春,样,至你胡邡样
西湖明月下 二人成双对,潜,坠法绸需潜
天下无双,旦,缁千蓟测旦
水边人家,沪,蚜俪樱拾沪
依山而立,端,洪施吼拜端
一叶孤舟沉水底 两行归雁趁潮飞,怂,夂畩认牵怂
说唱表演,呓,抹了由笳呓
水中赶路,衍,恳哺困朩衍
谁都没有休息,竿,妩氏监皫竿
一横一横又一横 一竖一竖又一竖 左一竖右一竖 一竖一竖又一竖,带,排散判戈带
十日水来,洵,葫霖滦必洵
山里处处栽塔松 山间乡乡变了样,幽,绅傍黑邱幽
山山拔地起,丛,晏漯拉羔丛
日月一起来 不作明字猜,胆,盯蜂夕别胆
勤奋劳动都有他份儿,力,锉滴捎增力
瞧左 相右 见上 看下,目,冥命儿匾目
一言未发,详,击坂攀佣详
没有鬼魂,云,揩视趿枸云
左边看去三十一 右边看去一十三 整个看去三百二十三,非,粥刖芆咯非
镜中人,入,篙池吐江入
西湖春色,清,物浪篓债清
私后终出丑,关,琉轩沾所关
水源曲折山峰隐,丞,译芮坯爹丞
双雁落平沙,丛,瞅誉豉历丛
一心要填补空白,息,左往敬钟息
要票才有,西,翼旧采散西
